Id,Hazard
6,1.1270562410354614
7,1.16545569896698
8,1.1742290258407593
9,1.136073350906372
10,1.1191530227661133
11,1.1411595344543457
13,1.1519596576690674
14,1.1202516555786133
16,1.1295154094696045
17,1.1254637241363525
18,1.1567167043685913
20,1.1338200569152832
27,1.1747150421142578
28,1.1527700424194336
29,1.1190459728240967
30,1.1298236846923828
34,1.1262625455856323
35,1.1425739526748657
36,1.1403651237487793
37,1.1341593265533447
38,1.131332278251648
40,1.1283986568450928
42,1.1473479270935059
46,1.136570930480957
47,1.1425704956054688
48,1.1499829292297363
49,1.1722919940948486
51,1.1542891263961792
52,1.1540790796279907
53,1.0909454822540283
54,1.118404507637024
55,1.1101726293563843
56,1.1654247045516968
57,1.1251311302185059
60,1.1568377017974854
61,1.103238582611084
64,1.160621166229248
65,1.1466776132583618
66,1.1533174514770508
68,1.1628108024597168
70,1.1347051858901978
71,1.1112946271896362
75,1.1146219968795776
76,1.1399040222167969
78,1.1662899255752563
80,1.128827691078186
81,1.1573600769042969
82,1.1491131782531738
83,1.1437474489212036
85,1.1160526275634766
86,1.1149793863296509
87,1.137313723564148
89,1.130339503288269
90,1.1439098119735718
91,1.145020604133606
92,1.1471716165542603
95,1.1326183080673218
97,1.1541625261306763
99,1.1319732666015625
101,1.1400169134140015
102,1.14915132522583
103,1.129292607307434
104,1.1501765251159668
107,1.1473162174224854
108,1.1283372640609741
111,1.1183066368103027
112,1.169000267982483
115,1.1568015813827515
119,1.1267327070236206
121,1.144049882888794
124,1.1299477815628052
128,1.1575063467025757
130,1.158459186553955
131,1.1614617109298706
133,1.1613214015960693
134,1.1489697694778442
137,1.1467252969741821
138,1.1449315547943115
142,1.157412052154541
143,1.153868556022644
144,1.1779574155807495
145,1.1567949056625366
147,1.1331123113632202
148,1.1518634557724
152,1.1150472164154053
154,1.2081048488616943
158,1.1199308633804321
159,1.1390647888183594
160,1.1563911437988281
161,1.1538547277450562
164,1.0967744588851929
165,1.1276285648345947
166,1.118407130241394
167,1.1284818649291992
169,1.1381276845932007
170,1.1566569805145264
171,1.1579731702804565
175,1.1200065612792969
177,1.1503535509109497
178,1.1555787324905396
180,1.1757317781448364
182,1.1386377811431885
184,1.1517064571380615
185,1.1578023433685303
186,1.132381796836853
190,1.144248366355896
191,1.1329646110534668
192,1.1166468858718872
195,1.1587177515029907
196,1.1593310832977295
197,1.1401150226593018
198,1.1386984586715698
199,1.1678656339645386
200,1.1343592405319214
204,1.1259021759033203
205,1.1476466655731201
207,1.1018496751785278
208,1.1286866664886475
209,1.17512047290802
211,1.1689746379852295
216,1.1674317121505737
217,1.101194143295288
220,1.1453603506088257
223,1.1612980365753174
224,1.1528575420379639
230,1.1321637630462646
232,1.137556791305542
235,1.1400175094604492
236,1.1574385166168213
238,1.1359140872955322
240,1.1207995414733887
242,1.1424851417541504
244,1.132096767425537
245,1.1360574960708618
248,1.1417863368988037
251,1.1426422595977783
256,1.1433366537094116
258,1.1629325151443481
259,1.1573258638381958
261,1.155161738395691
267,1.1513426303863525
268,1.1344012022018433
270,1.1537277698516846
272,1.1646958589553833
273,1.1225943565368652
275,1.0887842178344727
276,1.1237093210220337
277,1.1517747640609741
279,1.1375041007995605
